iter	Passed	Remaining
0	0	54
1	1	54
2	1	49
3	1	45
4	2	44
5	2	44
6	3	43
7	3	42
8	4	42
9	4	42
10	5	41
11	5	40
12	6	40
13	6	39
14	6	38
15	7	38
16	7	37
17	8	37
18	8	37
19	9	36
20	9	36
21	10	36
22	10	35
23	11	35
24	11	35
25	12	35
26	13	35
27	13	35
28	14	35
29	14	34
30	15	34
31	16	34
32	17	35
33	18	35
34	19	35
35	20	35
36	20	35
37	21	35
38	22	35
39	23	35
40	24	34
41	24	33
42	25	33
43	26	33
44	27	33
45	27	32
46	28	32
47	29	32
48	30	31
49	31	31
50	32	31
51	33	30
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	38	27
58	39	27
59	40	26
60	41	26
61	41	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
